address;source_location;insn;indent
0x45f5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:314;CMP	%R14D,-0x24(%RBP);
0x4643;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xe8(%RBP),%RAX;
0x464a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	(%RAX),%RCX;
0x464d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x8(%RAX),%RBX;
0x4651;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,-0x80(%RBP);
0x4655;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,-0x78(%RBP);
0x4659;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x10(%RAX),%RCX;
0x465d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x18(%RAX),%RBX;
0x4661;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,-0x70(%RBP);
0x4665;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,-0x68(%RBP);
0x4669;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x20(%RAX),%RCX;
0x466d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x28(%RAX),%RBX;
0x4671;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,-0x60(%RBP);
0x4675;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,-0x58(%RBP);
0x4679;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x30(%RAX),%RCX;
0x467d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x38(%RAX),%RBX;
0x4681;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,-0x50(%RBP);
0x4685;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,-0x48(%RBP);
0x4689;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x40(%RAX),%RAX;
0x468d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,-0x40(%RBP);
0x4691;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xe8(%RBP),%RAX;
0x4698;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xd8(%RBP),%RDX;
0x469f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	(%RDX),%RCX;
0x46a2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x8(%RDX),%RBX;
0x46a6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,(%RAX);
0x46a9;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,0x8(%RAX);
0x46ad;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x10(%RDX),%RCX;
0x46b1;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x18(%RDX),%RBX;
0x46b5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,0x10(%RAX);
0x46b9;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,0x18(%RAX);
0x46bd;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x20(%RDX),%RCX;
0x46c1;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x28(%RDX),%RBX;
0x46c5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,0x20(%RAX);
0x46c9;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,0x28(%RAX);
0x46cd;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x30(%RDX),%RCX;
0x46d1;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x38(%RDX),%RBX;
0x46d5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,0x30(%RAX);
0x46d9;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,0x38(%RAX);
0x46dd;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x40(%RDX),%RDX;
0x46e1;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RDX,0x40(%RAX);
0x46e5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;TEST	%R13D,%R13D;
0x46e8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;JNE	47d3 <crossover_+0x412>;
0x46ee;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xd8(%RBP),%RAX;
0x46f5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	(%RAX),%RAX;
0x46f8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;TEST	%RAX,%RAX;
0x46fb;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;JE	47c5 <crossover_+0x404>;
0x4701;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xd8(%RBP),%RAX;
0x4708;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x38(%RAX),%RDX;
0x470c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xd8(%RBP),%RAX;
0x4713;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	0x30(%RAX),%RCX;
0x4717;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RDX,%RAX;
0x471a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;SUB	%RCX,%RAX;
0x471d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;LEA	0x1(%RAX),%RBX;
0x4721;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,%RAX;
0x4724;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;SAL	$0x4,%RAX;
0x4728;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;ADD	%RBX,%RAX;
0x472b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;SAL	$0x2,%RAX;
0x472f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	$0x1,%EDX;
0x4734;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;TEST	%RAX,%RAX;
0x4737;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;CMOVE	%RDX,%RAX;
0x473b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,%RDI;
0x473e;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;CALL	20e0 <@plt_start@+0xc0>;
0x4743;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;TEST	%RAX,%RAX;
0x4746;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;JNE	4783 <crossover_+0x3c2>;
0x4748;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,%RAX;
0x474b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;SAL	$0x4,%RAX;
0x474f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;ADD	%RBX,%RAX;
0x4752;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;SAL	$0x2,%RAX;
0x4756;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	$0x1,%EDX;
0x475b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;TEST	%RAX,%RAX;
0x475e;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;CMOVE	%RDX,%RAX;
0x4762;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,%RDX;
0x4765;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;LEA	0xc9de(%RIP),%RAX;
0x476c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,%RSI;
0x476f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;LEA	0xd032(%RIP),%RAX;
0x4776;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,%RDI;
0x4779;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	$0,%EAX;
0x477e;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;CALL	21d0 <@plt_start@+0x1b0>;
0x4783;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xe8(%RBP),%RDX;
0x478a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,(%RDX);
0x478d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RBX,%RAX;
0x4790;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;SAL	$0x4,%RAX;
0x4794;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;ADD	%RBX,%RAX;
0x4797;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;SAL	$0x2,%RAX;
0x479b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,%RSI;
0x479e;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xd8(%RBP),%RAX;
0x47a5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	(%RAX),%RDX;
0x47a8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xe8(%RBP),%RAX;
0x47af;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	(%RAX),%RAX;
0x47b2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RDX,%RCX;
0x47b5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RSI,%RDX;
0x47b8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RCX,%RSI;
0x47bb;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,%RDI;
0x47be;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;CALL	2340 <@plt_start@+0x320>;
0x47c3;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;JMP	47d3 <crossover_+0x412>;
0x47c5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0xe8(%RBP),%RAX;
0x47cc;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOVQ	$0,(%RAX);
0x47d3;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;TEST	%R13D,%R13D;
0x47d6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;JNE	47f5 <crossover_+0x434>;
0x47d8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0x80(%RBP),%RAX;
0x47dc;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;TEST	%RAX,%RAX;
0x47df;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;JE	47f5 <crossover_+0x434>;
0x47e1;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	-0x80(%RBP),%RAX;
0x47e5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOV	%RAX,%RDI;
0x47e8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;CALL	2170 <@plt_start@+0x150>;
0x47ed;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:315;MOVQ	$0,-0x80(%RBP);
0x47f5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xf0(%RBP),%RAX;
0x47fc;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;CMP	-0xe0(%RBP),%RAX;
0x4803;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SETE	%AL;
0x4806;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOVZX	%AL,%R13D;
0x480a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xf0(%RBP),%RAX;
0x4811;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	(%RAX),%RCX;
0x4814;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x8(%RAX),%RBX;
0x4818;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,-0x80(%RBP);
0x481c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,-0x78(%RBP);
0x4820;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x10(%RAX),%RCX;
0x4824;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x18(%RAX),%RBX;
0x4828;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,-0x70(%RBP);
0x482c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,-0x68(%RBP);
0x4830;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x20(%RAX),%RCX;
0x4834;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x28(%RAX),%RBX;
0x4838;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,-0x60(%RBP);
0x483c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,-0x58(%RBP);
0x4840;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x30(%RAX),%RCX;
0x4844;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x38(%RAX),%RBX;
0x4848;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,-0x50(%RBP);
0x484c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,-0x48(%RBP);
0x4850;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x40(%RAX),%RAX;
0x4854;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,-0x40(%RBP);
0x4858;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xf0(%RBP),%RAX;
0x485f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xe0(%RBP),%RDX;
0x4866;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	(%RDX),%RCX;
0x4869;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x8(%RDX),%RBX;
0x486d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,(%RAX);
0x4870;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,0x8(%RAX);
0x4874;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x10(%RDX),%RCX;
0x4878;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x18(%RDX),%RBX;
0x487c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,0x10(%RAX);
0x4880;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,0x18(%RAX);
0x4884;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x20(%RDX),%RCX;
0x4888;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x28(%RDX),%RBX;
0x488c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,0x20(%RAX);
0x4890;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,0x28(%RAX);
0x4894;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x30(%RDX),%RCX;
0x4898;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x38(%RDX),%RBX;
0x489c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,0x30(%RAX);
0x48a0;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,0x38(%RAX);
0x48a4;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x40(%RDX),%RDX;
0x48a8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RDX,0x40(%RAX);
0x48ac;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;TEST	%R13D,%R13D;
0x48af;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;JNE	499a <crossover_+0x5d9>;
0x48b5;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xe0(%RBP),%RAX;
0x48bc;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	(%RAX),%RAX;
0x48bf;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;TEST	%RAX,%RAX;
0x48c2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;JE	498c <crossover_+0x5cb>;
0x48c8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xe0(%RBP),%RAX;
0x48cf;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x38(%RAX),%RDX;
0x48d3;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xe0(%RBP),%RAX;
0x48da;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	0x30(%RAX),%RCX;
0x48de;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RDX,%RAX;
0x48e1;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SUB	%RCX,%RAX;
0x48e4;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;LEA	0x1(%RAX),%RBX;
0x48e8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,%RAX;
0x48eb;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SAL	$0x4,%RAX;
0x48ef;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;ADD	%RBX,%RAX;
0x48f2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SAL	$0x2,%RAX;
0x48f6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	$0x1,%EDX;
0x48fb;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;TEST	%RAX,%RAX;
0x48fe;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;CMOVE	%RDX,%RAX;
0x4902;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,%RDI;
0x4905;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;CALL	20e0 <@plt_start@+0xc0>;
0x490a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;TEST	%RAX,%RAX;
0x490d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;JNE	494a <crossover_+0x589>;
0x490f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,%RAX;
0x4912;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SAL	$0x4,%RAX;
0x4916;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;ADD	%RBX,%RAX;
0x4919;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SAL	$0x2,%RAX;
0x491d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	$0x1,%EDX;
0x4922;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;TEST	%RAX,%RAX;
0x4925;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;CMOVE	%RDX,%RAX;
0x4929;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,%RDX;
0x492c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;LEA	0xc817(%RIP),%RAX;
0x4933;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,%RSI;
0x4936;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;LEA	0xcea3(%RIP),%RAX;
0x493d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,%RDI;
0x4940;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	$0,%EAX;
0x4945;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;CALL	21d0 <@plt_start@+0x1b0>;
0x494a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xf0(%RBP),%RDX;
0x4951;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,(%RDX);
0x4954;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RBX,%RAX;
0x4957;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SAL	$0x4,%RAX;
0x495b;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;ADD	%RBX,%RAX;
0x495e;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;SAL	$0x2,%RAX;
0x4962;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,%RSI;
0x4965;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xe0(%RBP),%RAX;
0x496c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	(%RAX),%RDX;
0x496f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xf0(%RBP),%RAX;
0x4976;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	(%RAX),%RAX;
0x4979;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RDX,%RCX;
0x497c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RSI,%RDX;
0x497f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RCX,%RSI;
0x4982;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,%RDI;
0x4985;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;CALL	2340 <@plt_start@+0x320>;
0x498a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;JMP	499a <crossover_+0x5d9>;
0x498c;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0xf0(%RBP),%RAX;
0x4993;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOVQ	$0,(%RAX);
0x499a;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;TEST	%R13D,%R13D;
0x499d;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;JNE	49bc <crossover_+0x5fb>;
0x499f;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0x80(%RBP),%RAX;
0x49a3;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;TEST	%RAX,%RAX;
0x49a6;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;JE	49bc <crossover_+0x5fb>;
0x49a8;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	-0x80(%RBP),%RAX;
0x49ac;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOV	%RAX,%RDI;
0x49af;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;CALL	2170 <@plt_start@+0x150>;
0x49b4;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:316;MOVQ	$0,-0x80(%RBP);
0x49bc;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:314;CMP	%R12D,-0x24(%RBP);
0x49c0;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:314;JE	49e0 <crossover_+0x61f>;
0x49c2;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:314;LEA	0xcaaf(%RIP),%RAX;
0x49c9;/home/notgard/chps1002/genetic_docking/part2/genetic_algorithm.f90:314;MOV	%RAX,%RSI;
